price;seller;fue;gear;miles;year_model;type;wheels;hpower;color;engine;date_traffic;brand;model;region;;
21000;Privat;Bensin;Manuell;35630;2006;Kombi;Tvåhjulsdriven;210;Svart;2521;2005-09-02;Volvo;V70;Värmland;;
34000;Privat;Bensin;Manuell;32781;2009;Sedan;Tvåhjulsdriven;141;Blå;2435;2008-10-29;Volvo;S60;Värmland;;
19000;Privat;Bensin;Manuell;29250;2007;Kombi;Tvåhjulsdriven;126;Grå;1798;2007-12-08;Volvo;V50;Värmland;;
73999;Privat;Bensin;Manuell;16166;2012;Halvkombi;Tvåhjulsdriven;116;Vit;1560;2012-05-16;Volvo;C30;Värmland;;
28000;Privat;Bensin;Manuell;30900;1998;Kombi;Tvåhjulsdriven;194;Röd;2435;1998-07-02;Volvo;V70;Värmland;;
7500;Privat;Bensin;Manuell;37766;2004;Sedan;Tvåhjulsdriven;141;Grå;2435;2004-02-25;Volvo;S40;Värmland;;
37000;Privat;Diesel;Manuell;0;1976;Sedan;Tvåhjulsdriven;101;Röd;2127;1976-06-01;Volvo;242;Värmland;;
22000;Privat;Diesel;Manuell;14706;2009;Halvkombi;Tvåhjulsdriven;109;Svart;1560;2008-10-22;Volvo;C30;Värmland;;
409900;Företag;El;Automat;4479;2022;SUV;Fyrhjulsdriven;414;Svart;NA;2022-03-18;Volvo;XC40;Värmland;;
134900;Företag;Diesel;Automat;20446;2013;Kombi;Fyrhjulsdriven;165;Svart;2400;2012-09-07;Volvo;V70;Värmland;;
228900;Företag;Diesel;Automat;14372;2018;Kombi;Tvåhjulsdriven;191;Svart;1969;2018-03-12;Volvo;V90;Värmland;;
39899;Företag;Diesel;Automat;33999;2009;Kombi;Tvåhjulsdriven;164;Blå;2400;2008-06-30;Volvo;V70;Värmland;;
29000;Företag;Diesel;Manuell;29000;2014;Kombi;Tvåhjulsdriven;181;Vit;1969;2014-03-07;Volvo;V70;Värmland;;
599900;Företag;Miljöbränsle/Hybrid;Automat;1540;2025;Kombi;Fyrhjulsdriven;355;Grå;1969;2024-06-04;Volvo;V90;Värmland;;
