"region","ägarkategori","år","Antal"
"Riket","totalt","2002",4042790
"Riket","totalt","2003",4075414
"Riket","totalt","2004",4113424
"Riket","totalt","2005",4153674
"Riket","totalt","2006",4202463
"Riket","totalt","2007",4258463
"Riket","totalt","2008",4278995
"Riket","totalt","2009",4300752
"Riket","totalt","2010",4335182
"Riket","totalt","2011",4401352
"Riket","totalt","2012",4447165
"Riket","totalt","2013",4495473
"Riket","totalt","2014",4585519
"Riket","totalt","2015",4669063
"Riket","totalt","2016",4768060
"Riket","totalt","2017",4845609
"Riket","totalt","2018",4870783
"Riket","totalt","2019",4887904
"Riket","totalt","2020",4944067
"Riket","totalt","2021",4986750
"Riket","totalt","2022",4980543
"Riket","totalt","2023",4977163
"Riket","totalt","2024",4977791
